01/07/2022 11.43.04 START |          | SIMPLE MISSION                  | 239|   N  |
01/07/2022 11.43.16 START |          | SIMPLE MISSION                  | 230|   N  |
01/07/2022 11.43.24 END   |          | SIMPLE MISSION                  | 239|   N  |
01/07/2022 11.43.39 END   |          | SIMPLE MISSION                  | 230|   N  |
01/07/2022 11.44.15 START |          | SIMPLE MISSION                  | 104|   N  |
01/07/2022 11.44.23 START |          | SIMPLE MISSION                  | 108|   N  |
01/07/2022 11.44.52 END   |          | SIMPLE MISSION                  | 104|   N  |
01/07/2022 11.45.04 END   |          | SIMPLE MISSION                  | 108|   N  |
01/07/2022 11.53.14 START |          | SIMPLE MISSION                  | 230|   N  |
01/07/2022 11.53.26 START |          | SIMPLE MISSION                  | 210|   N  |
01/07/2022 11.54.02 END   |          | SIMPLE MISSION                  | 210|   N  |
01/07/2022 11.54.10 END   |          | SIMPLE MISSION                  | 230|   N  |
01/07/2022 12.05.54 START |          | SIMPLE MISSION                  | 148|   N  |
01/07/2022 12.06.06 START |          | SIMPLE MISSION                  | 114|   N  |
01/07/2022 12.06.39 END   |          | SIMPLE MISSION                  | 114|   N  |
01/07/2022 12.06.46 END   |          | SIMPLE MISSION                  | 148|   N  |
01/07/2022 12.06.55 START |          | SIMPLE MISSION                  | 220|   N  |
01/07/2022 12.07.06 START |          | SIMPLE MISSION                  | 230|   N  |
01/07/2022 12.07.29 END   |          | SIMPLE MISSION                  | 220|   N  |
01/07/2022 12.08.04 START |          | SIMPLE MISSION                  | 238|   N  |
01/07/2022 12.08.27 START |          | SIMPLE MISSION                  | 144|   N  |
01/07/2022 12.08.34 END   |          | SIMPLE MISSION                  | 230|   N  |
01/07/2022 12.08.51 END   |          | SIMPLE MISSION                  | 144|   N  |
01/07/2022 16.50.31 START |          | SIMPLE MISSION                  | 239|   N  |
01/07/2022 16.50.49 END   |          | SIMPLE MISSION                  | 239|   N  |
01/07/2022 16.54.59 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
01/07/2022 16.55.20 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
01/07/2022 16.56.06 START |          | SIMPLE MISSION                  | 239|   N  |
01/07/2022 16.59.59 END   |          | SIMPLE MISSION                  | 239|   N  |
01/07/2022 17.00.09 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
01/07/2022 17.00.41 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
01/07/2022 17.01.31 START |          | LOAD FROM STORE 08              | 187|   B  |
01/07/2022 17.01.48 END   |          | LOAD FROM STORE 08              | 187|   B  |
01/07/2022 17.02.19 START |          | UNLOAD FORM STORE 01            | 117|   B  |
01/07/2022 17.02.37 END   |          | UNLOAD FORM STORE 01            | 117|   B  |
01/07/2022 17.02.51 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
01/07/2022 17.03.20 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 11.13.09 START |          | LOAD FROM STORE 01              | 117|   B  |
04/07/2022 11.13.50 END   |          | LOAD FROM STORE 01              | 117|   B  |
04/07/2022 11.14.09 START |          | UNLOAD FORM STORE 25            | 239|   B  |
04/07/2022 11.14.32 END   |          | UNLOAD FORM STORE 25            | 239|   B  |
04/07/2022 11.52.39 START |          | SIMPLE MISSION                  | 119|   N  |
04/07/2022 11.53.01 END   |          | SIMPLE MISSION                  | 119|   N  |
04/07/2022 11.53.27 START |          | SIMPLE MISSION                  | 230|   N  |
04/07/2022 11.53.50 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 11.54.08 END   |          | SIMPLE MISSION                  | 230|   N  |
04/07/2022 11.54.14 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 12.26.38 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 12.26.54 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 12.27.32 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 14.03.10 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 14.05.20 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 14.06.41 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 14.13.31 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 14.14.15 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 14.14.40 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 14.15.16 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 14.15.27 START |          | SIMPLE MISSION                  | 108|   N  |
04/07/2022 14.15.50 END   |          | SIMPLE MISSION                  | 108|   N  |
04/07/2022 14.16.09 START |          | SIMPLE MISSION                  | 210|   N  |
04/07/2022 14.17.07 START |          | SIMPLE MISSION                  | 118|   N  |
04/07/2022 14.18.05 END   |          | SIMPLE MISSION                  | 118|   N  |
04/07/2022 14.23.00 START |          | SIMPLE MISSION                  | 154|   N  |
04/07/2022 14.23.19 END   |          | SIMPLE MISSION                  | 154|   N  |
04/07/2022 14.23.31 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 14.23.51 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 14.24.26 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 14.24.59 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 14.37.20 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 14.37.43 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 14.38.10 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 14.39.06 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 14.39.42 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 14.40.12 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 14.43.21 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 14.43.51 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 15.12.13 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 15.12.43 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 15.17.43 START |          | SIMPLE MISSION                  | 229|   N  |
04/07/2022 15.19.52 END   |          | SIMPLE MISSION                  | 229|   N  |
04/07/2022 15.20.33 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 15.22.54 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 15.26.07 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 15.27.37 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 15.28.36 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 15.29.10 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 15.40.46 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 15.41.20 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 15.41.40 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 15.42.14 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 16.02.09 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 16.02.43 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 16.04.30 START |          | SIMPLE MISSION                  | 230|   N  |
04/07/2022 16.04.38 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 16.05.12 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 16.05.28 END   |          | SIMPLE MISSION                  | 230|   N  |
04/07/2022 16.05.49 START |          | SIMPLE MISSION                  | 179|   N  |
04/07/2022 16.05.57 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 16.06.20 END   |          | SIMPLE MISSION                  | 179|   N  |
04/07/2022 16.06.28 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 16.37.14 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 16.37.46 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 16.43.05 START |          | SIMPLE MISSION                  | 230|   N  |
04/07/2022 16.43.34 END   |          | SIMPLE MISSION                  | 230|   N  |
04/07/2022 16.54.23 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 16.54.57 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 16.56.22 START |          | SIMPLE MISSION                  | 170|   N  |
04/07/2022 16.56.59 END   |          | SIMPLE MISSION                  | 170|   N  |
04/07/2022 16.57.41 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 16.58.17 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 17.00.36 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 17.00.52 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 17.02.37 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 17.03.13 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 17.04.29 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 17.04.45 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
04/07/2022 17.06.41 START |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 17.07.17 END   |          | SIMPLE MISSION                  | 239|   N  |
04/07/2022 17.07.38 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
