26/06/2022 14.12.21 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 14.14.56 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 14.15.32 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 14.17.08 PC01 00   (TGVSPEC) - Start del software
26/06/2022 14.17.50 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 14.17.50 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 14.17.54 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 14.18.03 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 14.19.05 PC01 00   (TGVSPEC) - Close del software
26/06/2022 14.21.36 PC01 00   (TGVSPEC) - Start del software
26/06/2022 14.22.15 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 14.22.15 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 14.22.23 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 14.22.28 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 14.30.12 PC01 00   (TGVSPEC) - Start del software
26/06/2022 14.32.44 PC01 00   (TGVSPEC) - Close del software
26/06/2022 14.54.06 PC01 00   (TGVSPEC) - Start del software
26/06/2022 14.54.31 PC01 00   (TGVSPEC) - Close del software
26/06/2022 15.04.56 PC01 00   (TGVSPEC) - Start del software
26/06/2022 15.05.16 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 15.05.16 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 15.05.20 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 15.05.24 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 15.06.17 PC01 00   (TGVSPEC) - Start del software
26/06/2022 15.07.28 PC01 00   (TGVSPEC) - Close del software
26/06/2022 15.20.01 PC01 00   (TGVSPEC) - Start del software
26/06/2022 15.21.25 PC01 00   (TGVSPEC) - Close del software
26/06/2022 15.22.32 PC01 00   (TGVSPEC) - Start del software
26/06/2022 15.23.50 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 15.23.50 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 15.23.54 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 15.24.01 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 15.25.15 PC01 00   (TGVSPEC) - Start del software
26/06/2022 15.25.36 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 15.25.36 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 15.25.46 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 15.25.53 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 15.27.56 PC01 00   (TGVSPEC) - Start del software
26/06/2022 15.28.18 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 15.28.18 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 15.28.21 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 15.28.28 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 15.28.39 PC01 00   (TGVSPEC) - Close del software
26/06/2022 15.28.58 PC01 00   (TGVSPEC) - Start del software
26/06/2022 15.29.14 PC01 00   (TGVSPEC) - Start del software
26/06/2022 15.29.34 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 15.29.34 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 15.29.39 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 15.29.46 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 15.30.49 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 15.30.49 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 15.30.54 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 15.31.01 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 15.33.38 PC01 00   (TGVSPEC) - Start del software
26/06/2022 15.33.54 PC01 00   (RES_MIS) - Reset missione Tgv1
